Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume EUR,tradecount
1690761600000,2023-07-31,SOLEUR,22.07,22.58,21.5,21.62,28775.23,635095.8456,4213
1690675200000,2023-07-30,SOLEUR,22.97,22.99,21.52,22.11,29038.13,649761.5087,3666
1690588800000,2023-07-29,SOLEUR,22.61,23.16,22.56,22.97,22371.04,512946.1539,2454
1690502400000,2023-07-28,SOLEUR,22.93,23.22,22.46,22.61,28266.23,642995.7118,3534
1690416000000,2023-07-27,SOLEUR,22.82,23.42,22.26,22.95,52993.29,1210068.8463,5831
1690329600000,2023-07-26,SOLEUR,21.14,23.22,21.07,22.81,67197.64,1502671.8331,7502
1690243200000,2023-07-25,SOLEUR,21.18,21.45,20.7,21.13,38235.13,807318.4384,4353
1690156800000,2023-07-24,SOLEUR,22.36,22.38,20.75,21.21,47960.34,1026127.2765,5998
1690070400000,2023-07-23,SOLEUR,22.11,22.8,21.8,22.34,28467.74,636120.153,3192
1689984000000,2023-07-22,SOLEUR,23.02,23.64,21.73,22.13,35026.16,800316.1622,3347
1689897600000,2023-07-21,SOLEUR,22.87,23.42,22.62,23.02,53281.86,1223522.5978,4368
1689811200000,2023-07-20,SOLEUR,23.57,24.5,22.58,22.87,58254.69,1373422.7995,5962
1689724800000,2023-07-19,SOLEUR,22.83,24.15,22.66,23.56,66333.45,1564791.5494,5871
1689638400000,2023-07-18,SOLEUR,23.98,24.2,22.09,22.84,74749.4,1708110.472,7504
1689552000000,2023-07-17,SOLEUR,24.52,25.44,22.82,23.94,91678.82,2211524.3751,9484
1689465600000,2023-07-16,SOLEUR,24.59,25.65,23.75,24.53,65969.25,1641283.481,6790
