Unix,Date,Symbol,Open,High,Low,Close,Volume BNT,Volume BTC,tradecount
1716681600000,2024-05-26,BNTBTC,1.177e-05,1.188e-05,1.16e-05,1.184e-05,21833.8,0.25655587,238
1716595200000,2024-05-25,BNTBTC,1.178e-05,1.18e-05,1.148e-05,1.176e-05,19845.6,0.23107216,325
1716508800000,2024-05-24,BNTBTC,1.175e-05,1.196e-05,1.151e-05,1.178e-05,68353.8,0.80576603,681
1716422400000,2024-05-23,BNTBTC,1.133e-05,1.177e-05,1.132e-05,1.169e-05,55006.8,0.63502906,596
1716336000000,2024-05-22,BNTBTC,1.143e-05,1.147e-05,1.11e-05,1.134e-05,40451.8,0.45630853,315
1716249600000,2024-05-21,BNTBTC,1.112e-05,1.144e-05,1.112e-05,1.131e-05,33558.6,0.37801492,299
1716163200000,2024-05-20,BNTBTC,1.093e-05,1.138e-05,1.077e-05,1.107e-05,102944.3,1.14862648,758
1716076800000,2024-05-19,BNTBTC,1.104e-05,1.104e-05,1.08e-05,1.097e-05,24889.8,0.27145284,232
1715990400000,2024-05-18,BNTBTC,1.09e-05,1.107e-05,1.088e-05,1.1e-05,25604.4,0.2813422,130
1715904000000,2024-05-17,BNTBTC,1.083e-05,1.11e-05,1.075e-05,1.09e-05,40209.2,0.44008046,304
1715817600000,2024-05-16,BNTBTC,1.054e-05,1.082e-05,1.04e-05,1.082e-05,60996.7,0.64597943,454
1715731200000,2024-05-15,BNTBTC,1.068e-05,1.07e-05,1.045e-05,1.052e-05,16027.0,0.16945716,254
1715644800000,2024-05-14,BNTBTC,1.068e-05,1.089e-05,1.063e-05,1.063e-05,103084.3,1.10920599,536
1715558400000,2024-05-13,BNTBTC,1.083e-05,1.091e-05,1.062e-05,1.062e-05,26525.2,0.28564283,253
1715472000000,2024-05-12,BNTBTC,1.105e-05,1.107e-05,1.082e-05,1.086e-05,141980.0,1.55140883,831
1715385600000,2024-05-11,BNTBTC,1.138e-05,1.144e-05,1.111e-05,1.114e-05,27128.2,0.30551556,211
1715299200000,2024-05-10,BNTBTC,1.126e-05,1.142e-05,1.121e-05,1.133e-05,35816.5,0.405394,202
1715212800000,2024-05-09,BNTBTC,1.127e-05,1.143e-05,1.121e-05,1.124e-05,123471.8,1.40447044,981
1715126400000,2024-05-08,BNTBTC,1.105e-05,1.13e-05,1.087e-05,1.127e-05,173271.5,1.91220377,1292
1715040000000,2024-05-07,BNTBTC,1.104e-05,1.119e-05,1.09e-05,1.109e-05,36752.2,0.40637339,349
1714953600000,2024-05-06,BNTBTC,1.101e-05,1.123e-05,1.094e-05,1.106e-05,28172.6,0.31208831,201
1714867200000,2024-05-05,BNTBTC,1.093e-05,1.108e-05,1.088e-05,1.101e-05,24714.7,0.27088526,171
1714780800000,2024-05-04,BNTBTC,1.109e-05,1.118e-05,1.095e-05,1.098e-05,21737.5,0.23993822,181
1714694400000,2024-05-03,BNTBTC,1.137e-05,1.141e-05,1.105e-05,1.109e-05,31555.6,0.3538999,399
1714608000000,2024-05-02,BNTBTC,1.133e-05,1.145e-05,1.127e-05,1.139e-05,32204.8,0.36577647,360
1714521600000,2024-05-01,BNTBTC,1.093e-05,1.138e-05,1.074e-05,1.134e-05,35343.2,0.3918896,451
1714435200000,2024-04-30,BNTBTC,1.093e-05,1.103e-05,1.056e-05,1.092e-05,40216.0,0.43344535,425
1714348800000,2024-04-29,BNTBTC,1.114e-05,1.12e-05,1.09e-05,1.093e-05,42909.9,0.47325403,263
1714262400000,2024-04-28,BNTBTC,1.125e-05,1.138e-05,1.116e-05,1.116e-05,17641.1,0.19868056,225
1714176000000,2024-04-27,BNTBTC,1.118e-05,1.133e-05,1.094e-05,1.127e-05,39981.7,0.44503529,1473
1714089600000,2024-04-26,BNTBTC,1.11e-05,1.119e-05,1.092e-05,1.116e-05,36488.1,0.40317953,1664
1714003200000,2024-04-25,BNTBTC,1.127e-05,1.133e-05,1.102e-05,1.108e-05,103249.3,1.15035765,617
1713916800000,2024-04-24,BNTBTC,1.113e-05,1.157e-05,1.107e-05,1.128e-05,123845.0,1.40692186,851
1713830400000,2024-04-23,BNTBTC,1.127e-05,1.13e-05,1.105e-05,1.113e-05,62570.4,0.69943742,605
1713744000000,2024-04-22,BNTBTC,1.118e-05,1.141e-05,1.109e-05,1.126e-05,49213.7,0.5534759,2210
1713657600000,2024-04-21,BNTBTC,1.133e-05,1.133e-05,1.105e-05,1.111e-05,88745.6,0.99289022,1280
1713571200000,2024-04-20,BNTBTC,1.105e-05,1.14e-05,1.101e-05,1.133e-05,38579.7,0.43181423,464
1713484800000,2024-04-19,BNTBTC,1.1e-05,1.159e-05,1.086e-05,1.107e-05,275360.3,3.07986818,1839
1713398400000,2024-04-18,BNTBTC,1.113e-05,1.137e-05,1.093e-05,1.096e-05,81226.0,0.90382451,535
1713312000000,2024-04-17,BNTBTC,1.125e-05,1.144e-05,1.086e-05,1.112e-05,77457.3,0.859894,671
1713225600000,2024-04-16,BNTBTC,1.095e-05,1.137e-05,1.074e-05,1.131e-05,147251.8,1.61807539,930
1713139200000,2024-04-15,BNTBTC,1.134e-05,1.176e-05,1.084e-05,1.096e-05,221727.9,2.48850615,1293
1713052800000,2024-04-14,BNTBTC,1.23e-05,1.248e-05,1.093e-05,1.137e-05,631148.6,7.28031177,4246
1712966400000,2024-04-13,BNTBTC,1.181e-05,1.417e-05,1.124e-05,1.227e-05,2178131.9,27.4951067,13294
1712880000000,2024-04-12,BNTBTC,1.246e-05,1.274e-05,1e-05,1.189e-05,826335.2,9.77212879,6879
1712793600000,2024-04-11,BNTBTC,1.224e-05,1.25e-05,1.207e-05,1.249e-05,54051.2,0.66493977,1609
1712707200000,2024-04-10,BNTBTC,1.22e-05,1.262e-05,1.205e-05,1.225e-05,200145.6,2.46893084,3090
1712620800000,2024-04-09,BNTBTC,1.264e-05,1.277e-05,1.217e-05,1.221e-05,87152.6,1.08704459,2475
1712534400000,2024-04-08,BNTBTC,1.272e-05,1.319e-05,1.248e-05,1.263e-05,276514.8,3.53072074,2172
1712448000000,2024-04-07,BNTBTC,1.182e-05,1.294e-05,1.179e-05,1.273e-05,359673.6,4.53047712,5270
1712361600000,2024-04-06,BNTBTC,1.2e-05,1.233e-05,1.181e-05,1.185e-05,50136.0,0.60733084,754
1712275200000,2024-04-05,BNTBTC,1.183e-05,1.22e-05,1.167e-05,1.203e-05,125799.5,1.49600609,884
1712188800000,2024-04-04,BNTBTC,1.201e-05,1.226e-05,1.182e-05,1.182e-05,200272.3,2.41035178,2412
1712102400000,2024-04-03,BNTBTC,1.214e-05,1.233e-05,1.182e-05,1.2e-05,142198.3,1.71088502,5442
1712016000000,2024-04-02,BNTBTC,1.237e-05,1.237e-05,1.201e-05,1.214e-05,75521.6,0.91918134,620
1711929600000,2024-04-01,BNTBTC,1.286e-05,1.29e-05,1.215e-05,1.238e-05,73836.1,0.92972179,2078
