Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR,tradecount
1735862400000,2025-01-03,BTCEUR,94299.71,95943.86,92997.1,94966.61,869.40877,81668513.9197241,85536
1735776000000,2025-01-02,BTCEUR,91180.64,95200.0,91000.0,94299.7,303.65815,28342458.7219352,42691
1735689600000,2025-01-01,BTCEUR,90197.71,91755.82,89617.41,91180.01,155.03695,14058495.9560022,21301
1735603200000,2024-12-31,BTCEUR,89019.04,92634.82,88270.26,90206.0,330.46481,29926612.1129093,47688
1735516800000,2024-12-30,BTCEUR,89630.5,91179.99,87820.0,89014.63,331.35679,29605321.3104299,46098
1735430400000,2024-12-29,BTCEUR,91211.28,91250.62,88900.0,89630.32,198.27871,17834906.9310507,27936
1735344000000,2024-12-28,BTCEUR,90383.28,91587.44,90240.63,91211.32,101.58523,9218517.4709703,20117
1735257600000,2024-12-27,BTCEUR,91822.38,93617.43,89700.0,90409.02,266.03906,24349292.411412,41810
1735171200000,2024-12-26,BTCEUR,95589.74,96102.66,91376.7,91820.51,251.57054,23382110.4871587,35760
1735084800000,2024-12-25,BTCEUR,94868.33,95750.0,93932.03,95596.79,171.957,16295132.9437414,21978
1734998400000,2024-12-24,BTCEUR,91144.63,95700.0,89847.83,94882.42,277.65378,25763315.5919491,39569
1734912000000,2024-12-23,BTCEUR,91348.15,92823.49,88872.01,91144.87,320.24625,29052132.7910943,48856
1734825600000,2024-12-22,BTCEUR,93536.4,93688.61,90483.55,91350.71,217.59879,20042077.7288992,29338
1734739200000,2024-12-21,BTCEUR,94125.8,95873.19,92556.86,93535.53,269.71757,25380612.363698,33599
1734652800000,2024-12-20,BTCEUR,94271.54,94585.14,88596.0,94129.32,725.53318,66802761.8203566,84120
1734566400000,2024-12-19,BTCEUR,96782.82,98832.69,92254.46,94271.54,630.88482,60279330.1578806,80336
1734480000000,2024-12-18,BTCEUR,101144.48,101412.74,96610.1,96801.92,507.81465,50234148.5591157,62754
1734393600000,2024-12-17,BTCEUR,100567.65,103069.32,100236.35,101146.17,345.55877,35150955.3898924,44747
1734307200000,2024-12-16,BTCEUR,99134.88,102268.64,98390.0,100552.5,578.981503,58079651.81669527,65498
1734220800000,2024-12-15,BTCEUR,96423.48,99800.0,96251.07,99133.61,295.54281,28938469.2132528,36124
1734134400000,2024-12-14,BTCEUR,96540.2,97562.22,95702.32,96423.48,142.20265,13730372.2098095,21362
1734048000000,2024-12-13,BTCEUR,95392.59,97033.17,94678.87,96550.41,261.30224,25062462.5896349,34702
1733961600000,2024-12-12,BTCEUR,96055.84,97704.66,94724.0,95408.93,354.2759,34057647.1598591,47579
1733875200000,2024-12-11,BTCEUR,92027.47,96706.76,90958.88,96049.13,486.34075,45929827.8072498,55084
1733788800000,2024-12-10,BTCEUR,92293.43,93480.0,89703.36,92027.32,611.28161,56105273.2132368,74661
1733702400000,2024-12-09,BTCEUR,95637.35,95742.45,89234.0,92320.74,505.06122,46755765.5435901,72969
1733616000000,2024-12-08,BTCEUR,94374.45,95861.78,93294.96,95637.29,177.88696,16781683.5951212,24696
1733529600000,2024-12-07,BTCEUR,94330.3,94961.95,93510.02,94374.45,162.74693,15338579.5768174,26190
1733443200000,2024-12-06,BTCEUR,91715.63,96489.79,91176.48,94343.16,474.11848,44484088.4450952,55992
1733356800000,2024-12-05,BTCEUR,93767.2,98485.0,87160.0,91718.54,1246.16845,118805635.5285115,134632
1733270400000,2024-12-04,BTCEUR,91127.32,94062.69,89919.62,93780.93,487.15628,44874768.3111176,60089
1733184000000,2024-12-03,BTCEUR,91243.48,91733.32,89010.21,91108.07,398.91181,36137647.9098901,54993
1733097600000,2024-12-02,BTCEUR,92019.65,93035.27,90018.54,91246.94,438.47287,40074479.3251608,64129
1733011200000,2024-12-01,BTCEUR,91027.14,92476.48,90445.59,92024.64,211.31978,19346832.7503986,31319
1732924800000,2024-11-30,BTCEUR,92053.45,92059.84,90653.46,91030.87,151.99095,13879709.9769103,26018
1732838400000,2024-11-29,BTCEUR,90602.91,93449.99,90268.78,92081.58,292.60965,26903188.1275565,41942
1732752000000,2024-11-28,BTCEUR,90782.98,91545.96,89756.8,90617.18,239.0619,21626740.0500205,36105
1732665600000,2024-11-27,BTCEUR,87612.31,92155.39,87449.55,90783.86,483.10128,43398471.8725124,53724
1732579200000,2024-11-26,BTCEUR,88881.57,90744.98,86600.0,87609.69,969.41025,85674577.4195915,102530
1732492800000,2024-11-25,BTCEUR,93437.64,94359.76,88095.0,88904.13,534.1588,48939709.2797305,82820
1732406400000,2024-11-24,BTCEUR,93199.97,94064.0,91022.21,93417.04,416.25833,38510743.8202382,67940
1732320000000,2024-11-23,BTCEUR,94415.6,94426.28,92684.76,93205.2,329.72192,30912475.6898291,63658
1732233600000,2024-11-22,BTCEUR,93416.82,95093.5,92714.27,94396.99,649.50825,61224339.4803492,92035
1732147200000,2024-11-21,BTCEUR,89334.41,93727.0,89187.8,93406.68,838.009497,77338514.98159271,104965
1732060800000,2024-11-20,BTCEUR,87135.24,90009.0,86437.74,89331.86,483.506309,43005907.1581167,64882
1731974400000,2024-11-19,BTCEUR,85355.83,88643.0,85349.67,87168.44,450.70903,39303868.8332203,64502
1731888000000,2024-11-18,BTCEUR,84918.82,87526.3,84629.26,85432.65,513.20697,44245597.3926911,78004
1731801600000,2024-11-17,BTCEUR,85535.99,86230.2,83726.6,84915.15,298.45489,25411169.2975188,58520
1731715200000,2024-11-16,BTCEUR,86087.72,86750.6,84971.33,85507.0,289.78337,24929897.0267977,62744
1731628800000,2024-11-15,BTCEUR,82938.71,86874.99,82600.0,86083.64,487.23988,41327058.4028551,76208
1731542400000,2024-11-14,BTCEUR,85335.46,87068.15,82333.33,82934.78,671.34216,56952013.3750518,99147
1731456000000,2024-11-13,BTCEUR,82116.32,88117.56,80200.03,85326.33,1051.587343,88946918.3728686,154876
1731369600000,2024-11-12,BTCEUR,82272.51,84200.0,77895.22,82148.94,1340.247588,109671326.0153632,206271
1731283200000,2024-11-11,BTCEUR,74819.86,82959.59,74657.7,82253.94,1019.430223,80658609.6940732,135520
1731196800000,2024-11-10,BTCEUR,71484.98,75876.68,71317.13,74817.61,765.421112,56594844.83501882,112078
1731110400000,2024-11-09,BTCEUR,71346.16,71723.56,70576.7,71485.06,159.69372,11371909.44746,32873
1731024000000,2024-11-08,BTCEUR,70210.36,71950.0,70092.23,71346.12,327.47429,23231038.7212703,47722
1730937600000,2024-11-07,BTCEUR,70054.7,71110.45,68963.39,70197.37,458.52877,32092943.7857721,57388
1730851200000,2024-11-06,BTCEUR,63547.48,70802.38,63464.49,70054.71,1321.354686,90907936.7038232,135893
1730764800000,2024-11-05,BTCEUR,62411.35,64659.07,62066.42,63527.24,361.35404,23003362.9131337,42557
1730678400000,2024-11-04,BTCEUR,63380.86,63863.87,61444.01,62429.62,286.4355,17964643.3682693,32697
1730592000000,2024-11-03,BTCEUR,64244.95,64244.95,62420.0,63378.34,228.57926,14465692.592239,33046
1730505600000,2024-11-02,BTCEUR,64189.38,64553.65,63836.01,64225.5,82.89062,5326550.1344683,17745
1730419200000,2024-11-01,BTCEUR,64588.23,65957.62,63259.54,64207.92,298.17321,19188079.3290896,32462
1730332800000,2024-10-31,BTCEUR,66637.88,66905.12,64065.14,64598.02,284.09117,18616990.0555398,31521
1730246400000,2024-10-30,BTCEUR,67139.08,67212.4,65952.18,66642.34,288.73644,19217188.2900387,32798
1730160000000,2024-10-29,BTCEUR,64494.96,67987.99,64320.02,67126.55,634.37321,42129507.672966,60742
1730073600000,2024-10-28,BTCEUR,62966.0,64825.0,62654.84,64491.0,290.32448,18523860.0013201,31629
1729987200000,2024-10-27,BTCEUR,62222.61,63253.04,62064.3,62961.58,78.21233,4900955.4149692,17363
1729900800000,2024-10-26,BTCEUR,61900.85,62545.11,61613.62,62220.22,113.76497,7066658.1004379,19882
1729814400000,2024-10-25,BTCEUR,63029.14,63481.87,60836.01,61907.0,263.7411,16411665.1302274,34570
1729728000000,2024-10-24,BTCEUR,61818.28,63551.0,61666.66,62980.0,190.57506,11922553.2620922,28225
1729641600000,2024-10-23,BTCEUR,62409.22,62437.32,60550.02,61825.13,232.9897,14330908.8017156,29511
1729555200000,2024-10-22,BTCEUR,62239.7,62774.54,61500.0,62416.41,197.30365,12264956.7050667,31689
1729468800000,2024-10-21,BTCEUR,63280.8,63866.38,61639.04,62233.28,275.47824,17275367.7144424,32478
1729382400000,2024-10-20,BTCEUR,62850.99,63600.0,62500.01,63281.01,148.58275,9346499.4923122,25092
1729296000000,2024-10-19,BTCEUR,62956.2,63181.5,62545.66,62842.78,81.3277,5106755.7198037,17138
1729209600000,2024-10-18,BTCEUR,62144.81,63487.97,61935.48,62952.65,231.05035,14510090.8152112,29675
1729123200000,2024-10-17,BTCEUR,62180.66,62464.03,61452.15,62150.77,242.23178,15001411.0955964,27471
1729036800000,2024-10-16,BTCEUR,61564.12,62782.83,61266.81,62180.01,248.82755,15456884.1453517,28706
1728950400000,2024-10-15,BTCEUR,60497.73,62218.83,59420.0,61564.08,310.6891,18869839.3791806,35371
1728864000000,2024-10-14,BTCEUR,57330.78,60882.35,57021.85,60495.6,443.14018,26312936.3578416,45437
1728777600000,2024-10-13,BTCEUR,57662.55,57735.56,56502.5,57341.52,122.69673,7006450.89485,20816
1728691200000,2024-10-12,BTCEUR,57115.8,57937.78,57020.8,57662.55,104.93717,6032063.6272094,17712
1728604800000,2024-10-11,BTCEUR,55162.85,57984.93,54949.74,57105.71,188.96326,10685553.6874821,24503
1728518400000,2024-10-10,BTCEUR,55409.74,56065.57,53956.14,55164.8,222.02072,12239302.3337185,27189
1728432000000,2024-10-09,BTCEUR,56630.53,57013.64,55134.2,55412.68,147.63376,8319874.3505006,19714
1728345600000,2024-10-08,BTCEUR,56721.11,57593.21,56422.47,56653.42,143.2947,8147375.2881214,17552
1728259200000,2024-10-07,BTCEUR,57264.13,58746.44,56640.0,56727.15,187.16265,10810788.2882576,23241
1728172800000,2024-10-06,BTCEUR,56565.97,57382.39,56335.45,57257.5,78.98134,4494424.0466284,12495
1728086400000,2024-10-05,BTCEUR,56630.53,56877.25,56225.84,56563.39,65.00054,3678248.0307869,12008
1728000000000,2024-10-04,BTCEUR,55094.47,56967.95,54826.31,56593.11,174.07982,9757531.4105723,19006
1727913600000,2024-10-03,BTCEUR,54916.45,55737.34,54277.5,55100.47,176.44823,9702944.4703815,18902
1727827200000,2024-10-02,BTCEUR,54982.13,56499.99,54340.21,54927.78,206.06119,11413789.1929254,19878
1727740800000,2024-10-01,BTCEUR,56899.92,57728.12,54400.0,55018.95,252.8033,14242716.0248431,29574
1727654400000,2024-09-30,BTCEUR,58777.91,58777.91,56451.35,56900.96,207.43778,11886091.6045522,23944
1727568000000,2024-09-29,BTCEUR,59022.72,59211.83,58641.32,58766.59,59.59983,3511577.3698485,12441
1727481600000,2024-09-28,BTCEUR,58961.82,59377.73,58632.54,59032.59,69.81642,4112636.4624707,12817
1727395200000,2024-09-27,BTCEUR,58326.86,59500.0,58031.49,58960.04,197.09247,11611608.4971203,21987
1727308800000,2024-09-26,BTCEUR,56756.31,58932.86,56319.12,58323.89,252.66793,14623592.5288576,23272
1727222400000,2024-09-25,BTCEUR,57452.19,57936.96,56563.2,56756.3,112.88443,6439091.7910173,14994
1727136000000,2024-09-24,BTCEUR,57084.96,57800.0,56294.36,57436.25,173.52623,9899936.6814516,17678
1727049600000,2024-09-23,BTCEUR,56999.99,57963.0,56105.26,57014.05,156.27797,8928042.6666085,17417
1726963200000,2024-09-22,BTCEUR,56808.72,57359.0,55930.36,56983.17,88.1017,4979069.0840987,11059
1726876800000,2024-09-21,BTCEUR,56630.23,56965.8,56237.49,56787.26,45.3378,2565788.8477796,8779
1726790400000,2024-09-20,BTCEUR,56389.99,57395.14,55899.99,56648.45,160.56863,9107056.3254706,17727
1726704000000,2024-09-19,BTCEUR,55595.0,57250.0,55426.44,56376.57,314.7116,17727906.2585945,27953
1726617600000,2024-09-18,BTCEUR,54251.41,55596.76,53268.23,55582.38,253.59012,13724910.8364817,22025
1726531200000,2024-09-17,BTCEUR,52280.95,55150.0,51775.0,54234.64,318.26849,17148220.7150043,23695
1726444800000,2024-09-16,BTCEUR,53355.56,53424.64,51660.42,52262.76,243.31167,12760533.1069312,22255
1726358400000,2024-09-15,BTCEUR,54139.29,54497.21,52985.84,53362.39,105.12709,5679123.2008176,15852
1726272000000,2024-09-14,BTCEUR,54615.82,54716.5,53604.85,54137.15,101.27703,5481495.2144422,14894
1726185600000,2024-09-13,BTCEUR,52512.59,54737.94,52026.99,54615.82,305.55879,16282566.8487054,33663
1726099200000,2024-09-12,BTCEUR,52093.63,53100.0,51967.95,52512.59,213.05052,11203259.4514285,32070
1726012800000,2024-09-11,BTCEUR,52326.25,52631.51,50510.32,52094.62,205.56384,10587475.3135469,33764
1725926400000,2024-09-10,BTCEUR,51717.12,52672.15,51119.56,52324.5,149.27505,7731111.1508832,23612
1725840000000,2024-09-09,BTCEUR,49614.62,52641.82,49375.86,51724.7,211.16149,10687518.7720561,30268
1725753600000,2024-09-08,BTCEUR,49020.75,50059.53,48500.0,49591.03,114.06536,5607277.0197414,18163
1725667200000,2024-09-07,BTCEUR,48906.43,49623.0,48688.73,48994.27,108.71809,5338101.725504,17726
